Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Benin,BEN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Benin,BEN,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,30.6
Benin,BEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,90.3
Benin,BEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.2289156626506
Benin,BEN,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Benin,BEN,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Botswana,BWA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Botswana,BWA,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Botswana,BWA,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Botswana,BWA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Botswana,BWA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Botswana,BWA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,17.9
Botswana,BWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,41.6
Botswana,BWA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.7692307692308
Botswana,BWA,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Botswana,BWA,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Burkina Faso,BFA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Burkina Faso,BFA,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Burkina Faso,BFA,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Burkina Faso,BFA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Burkina Faso,BFA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Burkina Faso,BFA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,25.9
Burkina Faso,BFA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,87.5
Burkina Faso,BFA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,13.3858267716535
Burkina Faso,BFA,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Burkina Faso,BFA,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Cameroon,CMR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Cameroon,CMR,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Cameroon,CMR,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Cameroon,CMR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Cameroon,CMR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Cameroon,CMR,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,26.1
Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,74.8
Cameroon,CMR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,31.1111111111111
Cameroon,CMR,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Cameroon,CMR,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Cabo Verde,CPV,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Cabo Verde,CPV,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Cabo Verde,CPV,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Cabo Verde,CPV,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Cabo Verde,CPV,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Cabo Verde,CPV,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,9
Cabo Verde,CPV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14.9
Cabo Verde,CPV,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.6111111111111
Cabo Verde,CPV,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Cabo Verde,CPV,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Central African Republic,CAF,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Central African Republic,CAF,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Central African Republic,CAF,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Central African Republic,CAF,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Central African Republic,CAF,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Central African Republic,CAF,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,39.7
Central African Republic,CAF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,110.1
Central African Republic,CAF,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8.57142857142857
Central African Republic,CAF,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Central African Republic,CAF,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Chad,TCD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Chad,TCD,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Chad,TCD,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Chad,TCD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Chad,TCD,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Chad,TCD,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,33.3
Chad,TCD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,113.8
Chad,TCD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,14.8809523809524
Chad,TCD,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Chad,TCD,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Comoros,COM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Comoros,COM,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Comoros,COM,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Comoros,COM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Comoros,COM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Comoros,COM,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,29.8
Comoros,COM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,62.9
Comoros,COM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,6.06060606060606
Comoros,COM,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Comoros,COM,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
"Congo, Dem. Rep.",COD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
"Congo, Dem. Rep.",COD,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
"Congo, Dem. Rep.",COD,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
"Congo, Dem. Rep.",COD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
"Congo, Dem. Rep.",COD,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
"Congo, Dem. Rep.",COD,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,27.4
"Congo, Dem. Rep.",COD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,84.8
"Congo, Dem. Rep.",COD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10
"Congo, Dem. Rep.",COD,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
"Congo, Dem. Rep.",COD,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
"Congo, Rep.",COG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
"Congo, Rep.",COG,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
"Congo, Rep.",COG,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
"Congo, Rep.",COG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
"Congo, Rep.",COG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
"Congo, Rep.",COG,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,19.3
"Congo, Rep.",COG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,47.8
"Congo, Rep.",COG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.2582781456954
"Congo, Rep.",COG,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
"Congo, Rep.",COG,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Cote d'Ivoire,CIV,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Cote d'Ivoire,CIV,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Cote d'Ivoire,CIV,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Cote d'Ivoire,CIV,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Cote d'Ivoire,CIV,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Cote d'Ivoire,CIV,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,33
Cote d'Ivoire,CIV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,79.3
Cote d'Ivoire,CIV,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.9803921568627
Cote d'Ivoire,CIV,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Cote d'Ivoire,CIV,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Djibouti,DJI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Djibouti,DJI,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Djibouti,DJI,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Djibouti,DJI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Djibouti,DJI,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Djibouti,DJI,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,30.5
Djibouti,DJI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,57.5
Djibouti,DJI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.1538461538462
Djibouti,DJI,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Djibouti,DJI,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Equatorial Guinea,GNQ,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Equatorial Guinea,GNQ,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Equatorial Guinea,GNQ,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Equatorial Guinea,GNQ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Equatorial Guinea,GNQ,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Equatorial Guinea,GNQ,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,29
Equatorial Guinea,GNQ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,81.8
Equatorial Guinea,GNQ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21
Equatorial Guinea,GNQ,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Equatorial Guinea,GNQ,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Eritrea,ERI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Eritrea,ERI,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Eritrea,ERI,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Eritrea,ERI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Eritrea,ERI,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Eritrea,ERI,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,17.8
Eritrea,ERI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,40.5
Eritrea,ERI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,22
Eritrea,ERI,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Eritrea,ERI,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Ethiopia,ETH,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Ethiopia,ETH,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Ethiopia,ETH,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Ethiopia,ETH,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Ethiopia,ETH,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Ethiopia,ETH,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,27.6
Ethiopia,ETH,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,50.7
Ethiopia,ETH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,38.7568555758684
Ethiopia,ETH,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Ethiopia,ETH,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Gabon,GAB,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Gabon,GAB,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Gabon,GAB,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Gabon,GAB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Gabon,GAB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Gabon,GAB,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,20.2
Gabon,GAB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,42.5
Gabon,GAB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,17.910447761194
Gabon,GAB,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Gabon,GAB,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
"Gambia, The",GMB,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
"Gambia, The",GMB,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
"Gambia, The",GMB,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
"Gambia, The",GMB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
"Gambia, The",GMB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
"Gambia, The",GMB,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,27.1
"Gambia, The",GMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,51.7
"Gambia, The",GMB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.3448275862069
"Gambia, The",GMB,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
"Gambia, The",GMB,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Ghana,GHA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Ghana,GHA,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Ghana,GHA,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Ghana,GHA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Ghana,GHA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Ghana,GHA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,23.1
Ghana,GHA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,46.2
Ghana,GHA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,13.0909090909091
Ghana,GHA,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Ghana,GHA,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Guinea,GIN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Guinea,GIN,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Guinea,GIN,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Guinea,GIN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Guinea,GIN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Guinea,GIN,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,30.4
Guinea,GIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,98.8
Guinea,GIN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,22.8070175438596
Guinea,GIN,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Guinea,GIN,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Guinea-Bissau,GNB,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Guinea-Bissau,GNB,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Guinea-Bissau,GNB,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Guinea-Bissau,GNB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Guinea-Bissau,GNB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Guinea-Bissau,GNB,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,35.1
Guinea-Bissau,GNB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,78.5
Guinea-Bissau,GNB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,13.7254901960784
Guinea-Bissau,GNB,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Guinea-Bissau,GNB,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Kenya,KEN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Kenya,KEN,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Kenya,KEN,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Kenya,KEN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Kenya,KEN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Kenya,KEN,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,21
Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,43.2
Kenya,KEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.7765042979943
Kenya,KEN,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Kenya,KEN,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Lesotho,LSO,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Lesotho,LSO,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Lesotho,LSO,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Lesotho,LSO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Lesotho,LSO,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Lesotho,LSO,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,42.8
Lesotho,LSO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,86.4
Lesotho,LSO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.3333333333333
Lesotho,LSO,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Lesotho,LSO,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Liberia,LBR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Liberia,LBR,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Liberia,LBR,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Liberia,LBR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Liberia,LBR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Liberia,LBR,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,32.4
Liberia,LBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,84.6
Liberia,LBR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,12.3287671232877
Liberia,LBR,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Liberia,LBR,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Madagascar,MDG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Madagascar,MDG,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Madagascar,MDG,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Madagascar,MDG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Madagascar,MDG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Madagascar,MDG,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,20.1
Madagascar,MDG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,50.6
Madagascar,MDG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.8940397350993
Madagascar,MDG,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Madagascar,MDG,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Malawi,MWI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Malawi,MWI,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Malawi,MWI,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Malawi,MWI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Malawi,MWI,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Malawi,MWI,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,19.8
Malawi,MWI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,41.6
Malawi,MWI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,22.9166666666667
Malawi,MWI,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Malawi,MWI,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Mali,MLI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Mali,MLI,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Mali,MLI,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Mali,MLI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Mali,MLI,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Mali,MLI,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,32.1
Mali,MLI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,94
Mali,MLI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.52380952380952
Mali,MLI,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
